0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:01:54 -0600] "GET /metaplay/audio/retrieve?id=20 HTTP/1.1" 200 541206
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:02:20 -0600] "GET /metaplay/audio/retrieve?id=19 HTTP/1.1" 200 541206
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:02:41 -0600] "GET /metaplay/audio/retrieve?id=17 HTTP/1.1" 200 541206
127.0.0.1 - - [14/Oct/2015:09:03:35 -0600] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [14/Oct/2015:09:38:38 -0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:38:43 -0600] "GET /metaplay/audio/upload HTTP/1.1" 500 13581
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:39:47 -0600] "GET /metaplay/audio/upload HTTP/1.1" 500 13581
127.0.0.1 - - [14/Oct/2015:09:40:04 -0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:40:08 -0600] "GET /metaplay/audio/upload HTTP/1.1" 200 6218
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:40:08 -0600] "GET /metaplay/resources/js/trackAdd.js HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:40:08 -0600] "GET /metaplay/resources/js/validateTrack.js HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:40:08 -0600] "GET /metaplay/resources/css/bootstrap-select.min.css HTTP/1.1" 200 6400
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:40:08 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:40:08 -0600] "GET /metaplay/resources/js/bootstrap-select.min.js HTTP/1.1" 200 23382
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:40:08 -0600] "GET /metaplay/resources/js/populateTrackAdd.js HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:40:08 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 271682
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:40:08 -0600] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:40:08 -0600] "GET /metaplay/resources/img/tallestman.gif HTTP/1.1" 200 98191
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:41:10 -0600] "POST /metaplay/audio/upload HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:41:10 -0600] "GET /metaplay/mongo/upload HTTP/1.1" 200 6218
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:41:10 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:41:10 -0600] "GET /metaplay/resources/js/bootstrap-select.min.js HTTP/1.1" 200 23382
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:41:10 -0600] "GET /metaplay/resources/css/bootstrap-select.min.css HTTP/1.1" 200 6400
0:0:0:0:0:0:0:1 - - [14/Oct/2015:09:41:10 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 271682
