127.0.0.1 - - [30/Oct/2015:08:38:21 -0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:04 -0600] "GET /metaplay/playlist/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:04 -0600] "GET /metaplay/account/login HTTP/1.1" 200 4396
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:04 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:04 -0600] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:04 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 70335
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:04 -0600] "GET /metaplay/resources/lib/jquery.js HTTP/1.1" 200 95930
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:04 -0600] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:04 -0600] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:04 -0600] "GET /metaplay/resources/js/footer.js HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:04 -0600] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:05 -0600] "GET /metaplay/resources/img/kurtcobain.gif HTTP/1.1" 200 128722
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:08 -0600] "POST /metaplay/account/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:10 -0600] "GET /metaplay/playlist/add HTTP/1.1" 200 20338
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:10 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:10 -0600] "GET /metaplay/resources/lib/jquery-ui.min.css HTTP/1.1" 200 17874
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:10 -0600] "GET /metaplay/resources/lib/bootstrap-select.min.css HTTP/1.1" 200 6400
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:10 -0600] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:10 -0600] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:10 -0600] "GET /metaplay/resources/css/add_playlist.css HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:10 -0600] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:10 -0600] "GET /metaplay/resources/lib/jquery.js HTTP/1.1" 200 95930
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:10 -0600] "GET /metaplay/resources/js/playlistAdd.js HTTP/1.1" 200 6921
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:10 -0600] "GET /metaplay/resources/lib/bootstrap-select.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:10 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 70335
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:10 -0600] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:10 -0600] "GET /metaplay/resources/lib/images/ui-bg_inset-soft_50_c9c9c9_1x100.png HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:12 -0600] "POST /metaplay/rest/account?query=Cup HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:18 -0600] "GET /metaplay/ HTTP/1.1" 200 6059
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:18 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:18 -0600] "GET /metaplay/resources/css/reset.css HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:18 -0600] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:18 -0600] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:18 -0600] "GET /metaplay/resources/lib/jquery.js HTTP/1.1" 200 95930
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:18 -0600] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:18 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 70335
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:18 -0600] "GET /metaplay/resources/js/index.js HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:18 -0600] "GET /metaplay/resources/css/index.css HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:18 -0600] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:19 -0600] "GET /metaplay/resources/img/umo.gif HTTP/1.1" 200 138661
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:19 -0600] "GET /metaplay/resources/img/raveGuy.jpg HTTP/1.1" 200 13783
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:19 -0600] "POST /metaplay/rest/account?query=Cup HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/playlist/add HTTP/1.1" 200 20338
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/lib/bootstrap-select.min.css HTTP/1.1" 200 6400
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/lib/jquery-ui.min.css HTTP/1.1" 200 17874
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/lib/bootstrap-select.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/css/add_playlist.css HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/lib/jquery.js HTTP/1.1" 200 95930
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/js/playlistAdd.js HTTP/1.1" 200 6921
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 70335
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "GET /metaplay/resources/lib/images/ui-bg_inset-soft_50_c9c9c9_1x100.png HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:27 -0600] "POST /metaplay/rest/account?query=Cup HTTP/1.1" 200 3620
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:44 -0600] "GET /metaplay/resources/lib/bootstrap-select.min.css HTTP/1.1" 200 6400
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:44 -0600] "GET /metaplay/resources/lib/jquery-ui.min.css HTTP/1.1" 200 17874
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:44 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:44 -0600] "GET /metaplay/resources/css/add_playlist.css HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:44 -0600] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/search HTTP/1.1" 200 6885
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/resources/lib/jquery.js HTTP/1.1" 200 95930
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/resources/js/AJAXsearch.js HTTP/1.1" 200 3851
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/resources/js/footer.js HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [30/Oct/2015:08:44:50 -0600] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 70335
