127.0.0.1 - - [03/Nov/2015:17:42:43 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:42:53 -0700] "GET /metaplay/ HTTP/1.1" 200 3643
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:42:54 -0700] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:42:54 -0700] "GET /metaplay/resources/css/index.css HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:42:54 -0700] "GET /metaplay/resources/lib/jquery.js HTTP/1.1" 200 95930
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:42:54 -0700] "GET /metaplay/resources/css/reset.css HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:42:54 -0700] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:42:54 -0700] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:42:54 -0700] "GET /metaplay/resources/js/index.js HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:42:54 -0700] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:42:54 -0700] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 70335
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:42:54 -0700] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:42:54 -0700] "GET /metaplay/resources/img/umo.gif HTTP/1.1" 200 138661
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:42:54 -0700] "GET /metaplay/resources/img/raveGuy.jpg HTTP/1.1" 200 13783
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:42:54 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:00 -0700] "GET /metaplay/account/login HTTP/1.1" 200 4396
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:00 -0700] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:00 -0700] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:00 -0700] "GET /metaplay/resources/lib/jquery.js HTTP/1.1" 200 95930
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:00 -0700] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:00 -0700] "GET /metaplay/resources/js/footer.js HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:00 -0700] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 70335
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:00 -0700] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:00 -0700] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:00 -0700] "GET /metaplay/resources/img/davidbowie.gif HTTP/1.1" 200 55529
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:08 -0700] "POST /metaplay/account/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:08 -0700] "GET /metaplay/account/login?error HTTP/1.1" 200 4541
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:08 -0700] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:08 -0700] "GET /metaplay/resources/lib/jquery.js HTTP/1.1" 200 95930
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:08 -0700] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:08 -0700] "GET /metaplay/resources/img/vinylDark.gif HTTP/1.1" 200 70335
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:08 -0700] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:08 -0700] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:08 -0700] "GET /metaplay/resources/js/footer.js HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:08 -0700] "GET /metaplay/resources/img/vinyl.gif HTTP/1.1" 200 339376
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:08 -0700] "GET /metaplay/resources/img/daedelus.gif HTTP/1.1" 200 109102
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:12 -0700] "POST /metaplay/account/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:12 -0700] "GET /metaplay/account/login?error HTTP/1.1" 200 4541
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:12 -0700] "GET /metaplay/resources/css/home.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:12 -0700] "GET /metaplay/resources/lib/jquery-ui-min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:12 -0700] "GET /metaplay/resources/lib/bootstrap3-3-4.css HTTP/1.1" 200 134289
0:0:0:0:0:0:0:1 - - [03/Nov/2015:17:43:12 -0700] "GET /metaplay/resources/lib/bootstrap-min.js HTTP/1.1" 200 35951
